"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2LawezPeJhN4AWuSB0GtAU","Have You Ever Seen The Rain","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:372cMadhAGlNuDnc8TssqF","Pendulum (Expanded Edition)","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","1970-12-07","https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91","1","4","160133",,"false","83","USC4R0817643","spotify:user:zfede97","2022-03-25T10:16:14Z"
"spotify:track:1P4Frq8ZqkdJlChASoGFPZ","Scarface (Push It To The Limit)","spotify:artist:3Rfb8wuY9YHVntDXJqPW6r","Paul Engemann","spotify:album:0h7e2N3754OF6YyVEFxHzc","Scarface","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1983","https://i.scdn.co/image/ab67616d0000b2732f478ddce1c0c4bf1c46e2b3","1","1","184706",,"false","56","USMC10346186","spotify:user:zfede97","2022-03-26T14:17:46Z"
"spotify:track:6uf2YuVXXrC23JDUHFWmUQ","Citizen Cain","spotify:artist:5Jj4mqGYiplyowPLKkJLHt, spotify:artist:4EGlaDAVZTNNknDdKHrHRp","Tom Cochrane, Red Rider","spotify:album:5NgfmDJdDGJCb7LgrCeJrA","Tom Cochrane And Red Rider","spotify:artist:5Jj4mqGYiplyowPLKkJLHt","Tom Cochrane","1986-01-01","https://i.scdn.co/image/ab67616d0000b27347cca641b9271c0b335cb023","1","5","212106",,"false","18","USCA20904420","spotify:user:zfede97","2022-04-14T14:04:32Z"
"spotify:track:0pQskrTITgmCMyr85tb9qq","Starman - 2012 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:48D1hRORqJq52qsnUYZX56","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1972-06-06","https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680","1","4","254293","https://p.scdn.co/mp3-preview/6b0a9731bccd31cea4f1e229800e82b5c7be8f53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USJT11200004","spotify:user:zfede97","2022-04-14T20:04:15Z"
"spotify:track:0lIoY4ZQsdn5QzhraM9o9u","Because the Night","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","spotify:album:1p6cWoueuunhpgy6131zAd","Easter","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","1978","https://i.scdn.co/image/ab67616d0000b273a28eabe111f67a386e75a31a","1","3","204800","https://p.scdn.co/mp3-preview/9803a684e4d2af90d8fec47f95390ee8ace8f2d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USAR17800008","spotify:user:zfede97","2022-04-15T09:51:23Z"
"spotify:track:6t1FIJlZWTQfIZhsGjaulM","Video Killed The Radio Star","spotify:artist:057gc1fxmJ2vkctjQJ7Tal","The Buggles","spotify:album:5KKpKvLOS4tCV7cSOwIOWF","The Age Of Plastic","spotify:artist:057gc1fxmJ2vkctjQJ7Tal","The Buggles","1980-01-10","https://i.scdn.co/image/ab67616d0000b27370b6cfff0487d653a8c7ce01","1","2","253800",,"false","62","GBAAN7900013","spotify:user:zfede97","2022-04-18T11:35:02Z"
"spotify:track:2oKOGvdJ5BQEiguaSQJJpc","Your Latest Trick - Remastered 1996","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:6Pz06FAaeym0JSqVqIkN56","Brothers In Arms (Remastered 1996)","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b2733d15b942408bff9f507f189e","1","4","389666",,"false","63","GBUM72102501","spotify:user:zfede97","2022-04-19T21:13:54Z"
"spotify:track:0LrwgdLsFaWh9VXIjBRe8t","Changes - 2015 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:6fQElzBNTiEMGdIeY0hy5l","Hunky Dory (2015 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1971-12-17","https://i.scdn.co/image/ab67616d0000b273e464904cc3fed2b40fc55120","1","1","217746","https://p.scdn.co/mp3-preview/169c24f8dec808a59b1d58d0611d269cc88175fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USJT11500128","spotify:user:zfede97","2022-04-30T12:22:10Z"
"spotify:track:72Z17vmmeQKAg8bptWvpVG","Space Oddity - 2015 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ","David Bowie (aka Space Oddity) [2015 Remaster]","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1969-11-04","https://i.scdn.co/image/ab67616d0000b2733395f3e809dfbc2b1101d464","1","1","318026","https://p.scdn.co/mp3-preview/9240f576fa464f8e3fe38f1c83fd23cd4e516638?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USJT11500173","spotify:user:zfede97","2022-04-30T12:22:59Z"
"spotify:track:5gOnivVq0hLxPvIPC00ZhF","Cosmic Dancer","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","spotify:album:2wnq5e000z2hT7qS2F8jZ5","Electric Warrior","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","1971-09-24","https://i.scdn.co/image/ab67616d0000b27361a23657edb5d80fa18a630d","1","2","266533",,"false","55","GBCHM7100022","spotify:user:zfede97","2022-05-25T21:21:07Z"
